,prediction
0,35.24986631558535
1,41.0081695797124
2,29.294936143980323
3,34.57078567193471
4,34.193744909443275
5,35.06377150678182
6,36.84931501624362
7,25.429929869898487
8,33.30824165016965
9,35.66890859253559
10,37.52376281924464
11,39.05742733232495
12,38.5050020516055
13,34.69452687186597
14,30.823503955015354
15,34.13131086844004
16,35.380455801861366
17,36.501813166168496
18,37.81304963482587
19,28.923554841355212
20,36.470559526539304
21,25.31949824367203
22,32.93818077141214
23,21.62983452151936
24,30.273474402507222
25,29.52503108083832
26,31.498405607920294
27,37.97378530357058
28,26.856628604232174
29,28.338139859668903
30,33.70854433527447
31,32.125687266212
32,34.286772181717595
33,18.55618747931542
34,31.83070072249102
35,28.94197700923269
36,38.009937478688045
37,36.984353211148566
38,37.6222375010756
39,38.96509529243445
40,30.257127205473772
41,33.166602252520605
42,35.521786250885505
43,34.93334905273428
44,37.075080172526235
45,38.02171116965123
46,32.859394245167394
47,35.53999239041883
48,33.589906122993376
49,36.78368785685955
50,31.52832923314917
51,30.503927884902915
52,32.42662355273355
53,31.80442754755049
54,37.08032476422298
55,33.852110238087505
56,35.2367787495425
57,34.22210218274117
58,32.485346806688945
59,35.908505133460736
60,35.85382230180866
61,35.769157223670454
62,37.33624652306232
63,30.841220759305315
64,35.84276579171762
65,34.35839085970873
66,33.77595336042911
67,36.95572358780039
68,33.442700105476845
69,34.784341616737855
70,36.7723883150549
71,35.582621534399166
72,34.915834269842144
73,33.6850238673822
74,35.30646709807423
75,34.622598718327026
76,36.7723883150549
77,35.04952160473794
78,37.01685633444481
79,34.058328856055134
80,35.67046713387819
81,37.21360092428598
82,36.636455319256065
83,36.51987188830363
84,36.98635131283528
85,36.50855921894321
86,36.589413492188044
87,35.26383558822674
88,35.014604739597935
89,36.13399513699268
90,34.829313840363895
91,36.03120857402935
92,33.852110238087505
93,35.14978509823018
94,36.95572358780039
95,35.08753640888788
96,37.29717258878689
97,33.73062044013168
98,34.710753217707186
99,35.01522208487637
100,34.69084973281356
101,36.45729329237557
102,34.8066635073003
103,33.299089473572536
104,35.61879135763682
105,36.591170150306915
106,36.176188113622736
107,35.915939740809456
108,32.712370863393936
109,38.19500861924136
110,29.5729043354144
111,28.689063510651387
112,33.95609937124365
113,33.9739181406558
114,37.753451432755156
115,28.44233083167736
116,31.087555612984453
117,32.1705204482675
118,33.871798671721976
119,35.27532743392197
120,39.20241438725526
121,26.44784359480702
122,28.564483705952235
123,31.608301330584908
124,35.94606674023715
125,41.44968311622106
126,37.23292081404103
127,33.885040760189845
128,35.08335148021058
129,30.63627961895339
130,37.098608220039125
131,34.11911177589716
132,32.289500405426764
133,38.3132179650512
134,31.72004813048379
135,30.34161558984376
136,32.83708942152235
137,34.30615913004982
138,42.126727942461514
139,31.36877717721895
140,31.474377346671933
141,32.884819683945786
142,35.80632061318819
143,42.195093801224864
144,38.0367732529063
145,34.22964280304553
146,25.212838691980355
147,33.62491406027135
148,34.1823655112298
149,37.695132114894335
150,38.93439943122604
151,31.363190018049032
152,38.62667736922067
153,38.012221336577305
154,23.042835363774152
155,18.612350791611334
156,39.33036657637465
157,28.77456413131762
158,31.76960060085644
159,32.88591375440732
160,35.81333452250657
161,34.670511698409285
162,19.633448267691126
163,31.339517967084348
164,35.63138447850767
165,35.056743635590855
166,37.81156837018067
167,19.513629178033185
168,37.74600701904448
169,31.350055763159922
170,27.720198045367216
171,39.056964776402886
172,36.90557833716164
173,30.601739710903658
174,33.3780907927127
175,27.668527113406725
176,35.53926505522452
177,31.422653541149465
178,48.862088004283244
179,27.73045575859292
180,42.32395376121843
181,29.56319458415341
182,38.87194955257328
183,35.23051124957845
184,34.88254552750735
185,36.356175262826255
186,24.25820216883245
187,35.27125930817258
188,37.98085436286136
189,37.32870361721798
190,39.44706469852968
191,39.24448590655693
192,32.40288864675255
193,35.814018895469985
194,40.46649041776939
195,34.057112125385785
196,36.60720693450293
197,37.82116283560102
198,33.2185146141731
199,36.04759762345986
200,36.96957633197567
201,38.13730657791313
202,30.005732014755793
203,41.88310071657261
204,30.463197987734667
205,33.05907011598665
206,43.062090773367
207,28.10042033773209
208,39.9644700811624
209,33.833424091007274
210,35.50736808491702
211,36.43006395756744
212,25.141423306846026
213,32.2174439089338
214,36.65919265023247
215,39.19971254483991
216,38.93047784324345
217,40.18428771386505
218,29.645366006113946
219,32.75513834114566
220,35.395983362438336
221,38.04771232486546
222,37.81304963482587
223,38.19917359949424
224,31.81446803553175
225,34.772701935843685
226,33.23833659477492
227,40.97524428461384
228,31.96049397545518
229,38.11796579949441
230,33.13057176543084
231,21.62239045420425
232,42.275027504140034
233,29.024366961884795
234,35.42815339107666
235,36.556874862583356
236,33.97356435307122
237,36.79079203801145
238,22.70335139979246
239,33.35651993012746
240,35.78833743484871
241,37.67506274140014
242,38.67980434948501
243,41.406324787468435
244,34.79185218903763
245,33.11192815025625
246,32.45160942218757
247,34.45501151439693
248,38.11117962872803
249,38.37779201360204
250,32.701104438796825
251,36.54838589451851
252,31.023029834170366
253,36.161289437442235
254,33.74552645832631
255,27.06614364056061
256,45.171937706713564
257,42.5831330175811
258,32.31985669025702
259,26.886234303986477
260,37.84421130999986
261,36.99354778610459
262,41.358629364239476
263,24.17250212621043
264,38.77667945332084
265,37.1095984763298
266,40.095534469000015
267,37.26779398828751
268,41.40653963145018
269,32.86199656616107
270,37.43203526225754
271,32.30667317332904
272,44.04491887487194
273,41.89080092747634
274,37.882793333349966
275,30.590984052034056
276,38.51571689175853
277,34.96951743523525
278,36.64092373023486
279,19.275907772007653
280,30.982849444294608
281,39.761319286247186
282,22.580913169922916
283,25.430333044302046
284,33.88078973245112
285,27.29796527768128
286,32.10432070709679
287,22.134195445444533
288,27.44591145878324
289,33.285648170079355
290,33.98275492019912
291,36.903833532491944
292,33.36481522220152
293,22.531713850165556
294,22.200513934962537
295,31.279655008356578
296,34.48529457006279
297,33.04785309196108
298,33.44956360326005
299,30.432947382228743
300,29.94748742531258
301,31.23307556468425
302,29.49129542840473
303,28.484664670528854
304,33.78319792568932
305,41.3402890330402
306,30.079574316429067
307,34.76273988543493
308,34.414566847762096
309,35.782789343876274
310,37.886303512914516
311,25.13569390772448
312,32.27991833783787
313,37.344441020836136
314,38.13965018685988
315,36.324818712795256
316,39.70314445829826
317,31.67694211114826
318,32.41469740629081
319,36.714083859879864
320,36.54196826931371
321,40.54168684226281
322,37.921980408760945
323,34.37775619192617
324,35.283150907391544
325,32.74012873150011
326,40.400561752614664
327,26.101374877069972
328,34.65884639149443
329,34.007175504363346
330,21.607084148764795
331,39.90860581777275
332,28.783381321259704
333,31.979888469817112
334,30.58936043642916
335,29.847058380670337
336,35.43445654839211
337,38.673280473022686
338,22.185597434375083
339,34.109472121741206
340,34.75603294307766
341,39.23153084855659
342,37.0694154338274
343,36.41125284520462
344,27.673449779331786
345,30.999935572220433
346,38.40072952638502
347,30.34110635262051
348,34.35462853317458
349,39.17618410492918
350,34.06742788064049
351,34.670511698409285
352,32.14500048664566
353,29.837239664014795
354,38.048654513449186
355,37.97338975733387
356,37.13754111252885
357,40.77967943599904
358,26.42347309734428
359,27.865259382127814
360,32.48996774898084
361,35.11532826009034
362,35.41961065303139
363,33.997718302443516
364,31.868858538148224
365,33.70854433527447
366,34.123017247849916
367,33.71396690952352
368,35.30846554641419
369,31.11397963439757
370,29.309524837706455
371,30.73797106162262
372,34.144458071130025
373,34.937438176653835
374,36.84457788905247
375,32.36854104248285
376,36.607162599990545
377,43.70019379092602
378,31.307350637006678
379,33.501870831879835
380,30.46574625196427
381,31.010387180731055
382,44.09796593466658
383,23.562449887249628
384,29.855385281846985
385,33.88374074591922
386,35.69659802492459
387,37.70043706638549
388,39.08916453406943
389,27.39053824826344
390,37.617913684320634
391,39.921186998509576
392,36.067048270555276
393,38.32985565801628
394,40.52883422535531
395,25.17081493665931
396,32.22934863857793
397,36.55821838958956
398,44.253580663540475
399,36.92191036541285
400,39.78569118438173
401,38.04263562056308
402,37.68343937010394
403,39.496490607811346
404,23.38266522098224
405,26.58787094186883
406,39.38423793701167
407,27.461940364297718
408,30.06311118077282
409,32.52695607185933
410,32.94006966249049
411,36.10303108269753
412,25.942118051844336
413,30.298438925296328
